size: 64 # assume square area and each side is 64 
sensing range: 16 
communication range: 32 
power capacity: 1,000 
number of paths: 2 
multipath mode: disjoint # assume either disjoint or braided 
access points: (0, 0) (63, 63) # at least one access point 
node locations:	
	(36, 37) (14, 42) (1, 11) (40, 15) (23, 3) (43, 7) (13, 28) (22, 12)
	(26, 59) (61, 25) (48, 36) (56, 12) (40, 57) (34, 6) (0, 7) (15, 30)
	(62, 58) (30, 18) (9, 23) (46, 44) (60, 19) (36, 6) (19, 16) (47, 53)
	(61, 24) (39, 59) (0, 62)
events: # location and cost for each event 
	(18, 5) 135 (38, 24) 63 (48, 50) 155 (52, 43) 135 (5, 18) 57 
	(13, 54) 22 (12, 25) 52 (40, 62) 55 (58, 35) 57 (15, 49) 113 
	(49, 30) 35 (41, 36) 46 (26, 38) 60 (48, 20) 163 (37, 52) 45 
	(6, 61) 158 (19, 29) 44 (45, 59) 150 (43, 38) 41 (37, 36) 42 
	(11, 1) 40 (3, 23) 143 (28, 13) 122 (59, 26) 161 (36, 48) 56 
	(57, 40) 34 (30, 15) 62 (42, 14) 37 (15, 40) 211 (7, 43) 223 
	(12, 22) 328 (25, 61) 59 (12, 56) 348 (6, 34) 57 (30, 15)58 
